,S,dissapearing_attractor,tipping_time
0,14.5,sb,
11,14.6,sb,
2,14.5,sb,
8,14.5,sb,
13,14.6,sb,
12,14.6,sb,
1,14.5,sb,
5,14.5,sb,
14,14.6,sb,
9,14.5,sb,
10,14.6,sb,
15,14.6,sb,
7,14.5,sb,
16,14.6,sb,
21,14.7,sb,
6,14.5,sb,
4,14.5,sb,
3,14.5,sb,
18,14.6,sb,
17,14.6,sb,
31,14.799999999999999,sb,
19,14.6,sb,
29,14.7,sb,
32,14.799999999999999,sb,
30,14.799999999999999,sb,
28,14.7,sb,
27,14.7,sb,
37,14.799999999999999,sb,
20,14.7,sb,
36,14.799999999999999,sb,
22,14.7,sb,
24,14.7,sb,
33,14.799999999999999,sb,
38,14.799999999999999,sb,
51,14.999999999999998,sb,39239.99999970948
41,14.899999999999999,sb,
25,14.7,sb,
45,14.899999999999999,sb,
35,14.799999999999999,sb,
52,14.999999999999998,sb,14362.70000003472
49,14.899999999999999,sb,
39,14.799999999999999,sb,
48,14.899999999999999,sb,
40,14.899999999999999,sb,
46,14.899999999999999,sb,
42,14.899999999999999,sb,
47,14.899999999999999,sb,
26,14.7,sb,
50,14.999999999999998,sb,
44,14.899999999999999,sb,
34,14.799999999999999,sb,
53,14.999999999999998,sb,
43,14.899999999999999,sb,
56,14.999999999999998,sb,
23,14.7,sb,
57,14.999999999999998,sb,
58,14.999999999999998,sb,
55,14.999999999999998,sb,
62,15.099999999999998,sb,
59,14.999999999999998,sb,
54,14.999999999999998,sb,
64,15.099999999999998,sb,
63,15.099999999999998,sb,51631.49999952916
66,15.099999999999998,sb,96525.90000113066
60,15.099999999999998,sb,4466.099999998716
61,15.099999999999998,sb,18709.70000000823
67,15.099999999999998,sb,34822.299999773764
65,15.099999999999998,sb,19713.399999993624
69,15.099999999999998,sb,18450.800000011997
71,15.199999999999998,sb,7369.600000009279
72,15.199999999999998,sb,8645.40000001392
85,15.299999999999997,sb,1165.6000000000354
73,15.199999999999998,sb,4007.199999997451
89,15.299999999999997,sb,561.200000000059
79,15.199999999999998,sb,9564.500000017264
75,15.199999999999998,sb,8213.200000012348
70,15.199999999999998,sb,10848.600000021936
68,15.099999999999998,sb,31913.099999816095
76,15.199999999999998,sb,3486.999999997924
77,15.199999999999998,sb,5865.200000003806
78,15.199999999999998,sb,7250.800000008847
84,15.299999999999997,sb,530.7000000000521
88,15.299999999999997,sb,739.5000000000996
87,15.299999999999997,sb,1394.3999999998273
100,15.499999999999996,sb,230.79999999999117
83,15.299999999999997,sb,936.0000000001443
86,15.299999999999997,sb,801.5000000001137
98,15.399999999999997,sb,723.700000000096
91,15.399999999999997,sb,318.10000000000383
93,15.399999999999997,sb,998.0000000001584
94,15.399999999999997,sb,75.2
82,15.299999999999997,sb,229.79999999999123
97,15.399999999999997,sb,177.4999999999942
74,15.199999999999998,sb,1244.4999999999636
111,7.5,w,25.700000000000095
80,15.299999999999997,sb,2718.699999998623
103,15.499999999999996,sb,95.19999999999887
95,15.399999999999997,sb,301.3
90,15.399999999999997,sb,477.30000000004003
92,15.399999999999997,sb,496.30000000004435
81,15.299999999999997,sb,802.1000000001138
101,15.499999999999996,sb,280.4999999999953
109,15.499999999999996,sb,93.69999999999895
113,7.5,w,32.800000000000196
112,7.5,w,25.200000000000088
115,7.5,w,54.2000000000005
102,15.499999999999996,sb,67.00000000000047
96,15.399999999999997,sb,161.7999999999951
99,15.399999999999997,sb,286.1999999999966
114,7.5,w,60.200000000000585
104,15.499999999999996,sb,114.49999999999777
110,7.5,w,32.000000000000185
107,15.499999999999996,sb,250.79999999999004
105,15.499999999999996,sb,78.19999999999983
106,15.499999999999996,sb,65.10000000000058
118,7.5,w,30.000000000000156
117,7.5,w,30.30000000000016
120,7.6,w,29.000000000000142
121,7.6,w,58.20000000000056
108,15.499999999999996,sb,121.0999999999974
119,7.5,w,26.80000000000011
122,7.6,w,45.80000000000038
127,7.6,w,37.50000000000026
129,7.6,w,42.00000000000033
116,7.5,w,28.600000000000136
125,7.6,w,35.500000000000234
124,7.6,w,81.59999999999964
132,7.699999999999999,w,2568.6999999987593
126,7.6,w,46.40000000000039
131,7.699999999999999,w,1053.2000000001376
133,7.699999999999999,w,695.2000000000895
128,7.6,w,94.19999999999892
130,7.699999999999999,w,372.70000000001625
135,7.699999999999999,w,35.40000000000023
123,7.6,w,96.19999999999881
134,7.699999999999999,w,1016.8000000001626
138,7.699999999999999,w,384.60000000001895
144,7.799999999999999,w,45953.19999961179
139,7.699999999999999,w,181.89999999999395
136,7.699999999999999,w,200.5999999999929
137,7.699999999999999,w,1159.9000000000406
146,7.799999999999999,w,24962.49999991724
150,7.899999999999999,w,
141,7.799999999999999,w,29522.199999850887
143,7.799999999999999,w,3815.999999997625
140,7.799999999999999,w,6591.100000006447
145,7.799999999999999,w,388.20000000001977
